LDGS_CD,LDGS_NM,LDGS_ZIP_NO,LDGS_ROAD_NM_ADDR
24135,대전 유성 MAC,34186,대전 유성구 온천북로 64 (봉명동)
24136,경주 호텔 아델,38103,경상북도 경주시 양정로261번길 6
24140,구미 원평동 K1,39227,경상북도 구미시 금오시장로7길 6-7 (원평동)
24141,청주 에버그린,28593,충청북도 청주시 흥덕구 월명로5번길 72-7 (복대동)
24142,신천 플러스,05558,서울특별시 송파구 올림픽로12길 5-25
24143,부천(남부역) 카라,14725,경기 부천시 경인로182번길 9 (심곡본동)
24145,대전 유성 하루,34185,대전광역시 유성구 온천동로65번길 42 (봉명동)
24146,울산 삼산 더샵,44696,울산 남구 삼신로 4 (삼산동)
24149,대전 대흥 썸,34931,대전 중구 인창로6번길 25 (대흥동)
24150,구리 러쉬(LUSH),11927,경기도 구리시 안골로57번길 17 (수택동)
24157,부산 화명동 스카이,46527,부산광역시 북구 금곡대로285번길 62 (화명동)
24162,안양 코암호텔,14033,경기 안양시 만안구 만안로 101 (안양동)
24170,안산 아이비,15367,경기도 안산시 단원구 선부광장로 91
24173,수원시청역 로즈,16571,경기도 수원시 권선구 권선로683번길 24-24
24174,천안 자자 호텔,31110,충청남도 천안시 서북구 성정공원5로 60
24182,울산 중구 팰리스,44521,울산광역시 중구 새벽시장2길 40 (학성동)
24185,신천 로즈마리,05558,서울특별시 송파구 올림픽로12길 5-29 (로즈마리)
24189,수원(시청역) 엑스아이(Xi),16490,경기도 수원시 팔달구 권광로175번길 32
24193,경주 보문 자라(ZARA),38116,경상북도 경주시 보문로 465-20
24196,춘천 S쁘띠,24366,강원 춘천시 춘천로56번길 5
24203,전주 산정동 호텔 샾(Hotel Sharp),55015,전라북도 전주시 덕진구 산정3길 22
24206,울산 일산 폼,44057,울산광역시 동구 해수욕장1길 14(화정동)
24208,제주 T무인텔,63344,제주특별자치도 제주시 조천읍 남조로 2393
24215,대구 두류 폭스(FOX),41851,대구광역시 서구 서대구로 57-14
24216,전주 금암동 블루원,54933,전북 전주시 덕진구 용산2길 18 (금암동)
24227,의왕 호텔 보보스,16037,경기 의왕시 갈미안로 7
24229,장흥 스위스 무인텔,59324,전라남도 장흥군 장흥읍 동교2길 29
24232,충주 A,27387,충청북도 충주시 성서8길 6-1
24235,신천 상주 호텔,05561,서울 송파구 올림픽로8길 19 (잠실동)
24240,평택 호텔 드살롱 평택역점,17909,경기도 평택시 자유로14번길 9
24252,춘천 리버사이드 코지,24239,강원도 춘천시 강창골길 14 (삼천동)
24255,신촌 메이저,04109,서울 마포구 서강로18길 8 (노고산동)
24260,안산(상록수) 초콜릿,15549,경기도 안산시 상록구 석호로3안길 34
24263,신촌 제이드,03779,서울 서대문구 연세로2가길 12 (창천동)
24264,부산 연산동 WABA,47520,부산 연제구 거제천로230번길 88 (연산동)
24266,선릉 프린스,06193,서울 강남구 선릉로86길 43 (대치동)
24271,부산 남포동 아리아,48951,부산 중구 중앙대로41번길 23 (동광동2가)
24281,의정부 S,11697,경기도 의정부시 시민로122번길 9-25 (의정부동)
24282,남양주 프라하,12150,경기도 남양주시 늘을2로 26 (메인시네마타워)
24289,인천(강화) MOTEL 917,23054,인천광역시 강화군 내가면 해안서로 917
24291,대전 대흥 호텔 루키,34928,대전광역시 중구 대흥로158번길 25
24297,대구 동대구역 리더스,41249,대구광역시 동구 동부로26길 38 (신천동)
24307,창원 상남동 리버스,51496,경상남도 창원시 성산구 마디미로27번길 11 (상남동)
24312,인천(부평) 버스,21389,인천광역시 부평구 경원대로1367번길 18-12
24313,광명(철산) 세인트,14240,경기도 광명시 오리로854번길 12 (철산동)
24316,인천(송도) 오투(O2),21945,인천광역시 연수구 대암로8번길 8
24317,대전 용전 아이,34550,대전광역시 동구 한밭대로1316번길 11 (용전동)
24325,대전 유성 체리,34186,대전 유성구 온천북로 76
24327,수원 영통 E,16705,경기도 수원시 영통구 반달로35번길 21(영통동)
24328,서천 휴,33603,충청남도 서천군 서면 부사로 273
24331,부산 연산 토곡 오,47558,부산광역시 연제구 과정로 165-2
24334,대구 성서 로그인,42714,대구광역시 달서구 성서공단로11길 6-16
24336,대전 유성 베르겐 호텔,34185,대전광역시 유성구 온천북로 65-9 (봉명동)
24338,부산 범일동 U,48745,부산광역시 동구 자성공원로3번길 23-4
24340,춘천 마임 호텔,24367,강원도 춘천시 우묵길 79 (퇴계동)
24343,인천(송도) 블루,21946,인천광역시 연수구 능허대로179번길 14
24348,김해 장유 W,50989,경상남도 김해시 번화1로68번길 3 (대청동)
24356,울산 삼산 팬,44705,울산광역시 남구 삼산중로74번길 30-2
24360,안양 꾸띠,13992,경기도 안양시 만안구 만안로 219
24363,인천(석남동) TWOSOME(2S),22790,인천광역시 서구 옻우물로14번길 2
24366,청주 북문로 토론토 호텔,28543,충청북도 청주시 상당구 중앙로 6-9
24367,화곡 거기,07777,서울특별시 강서구 강서로5가길 30 (화곡동)
24369,수원 망포역 더 호텔,16692,경기도 수원시 영통구 영통로112번길 18
24373,대전 유천 노블레스,34987,대전광역시 중구 대둔산로509번길 7
24374,광주 신안동 호텔 프라임,61229,광주광역시 북구 자미로6번길 36-1
24377,잠실 HL HOTEL,05543,서울특별시 송파구 오금로11길 23-12
24378,회기 Q,02444,서울특별시 동대문구 회기로31길 9
24383,신림 M,08754,서울특별시 관악구 남부순환로181길 6 (엠모텔)
24384,안산 블루 9,15549,경기도 안산시 상록구 석호로3길 10
24389,가평(청평) 리버빌,12459,경기도 가평군 설악면 유명로 2324
24391,광주 신안동 쿡,61250,광주 북구 중흥로 75 (신안동)
24394,울산 영남알프스 더죤,44952,울산광역시 울주군 상북면 알프스온천1길 28
24396,목포 빅토리아,58688,전라남도 목포시 하당남부로61번길 22
24402,여수 다와,59726,전라남도 여수시 공화북2길 13
24406,울산 삼산 루이,44713,울산광역시 남구 삼산로301번길 8-24
24411,춘천 라임,24273,강원도 춘천시 중앙로68번길 22-4
24412,익산 올레 무인텔,54675,전라북도 익산시 인북로4길 41
24415,안면도 오슈,32158,충남 태안군 남면 안면대로 1722-67
24416,신촌 레츠,03780,서울특별시 서대문구 신촌로 125-5 (창천동)
